Nama SPKLU,Alamat,Latitude,Longitude,Jenis Konektor & Daya
SPKLU Gedung Pemkot Surabaya,"PPRX+R52 Ketabang, Surabaya, East Java",-7.257996,112.747887,AC TYPE 2 - 22KW
SPKLU Balai Kota Surabaya,"PPRX+R52 Ketabang, Surabaya, East Java",-7.257996,112.747887,AC TYPE 2 - 22KW
SPKLU WTC Surabaya Mall,"PPPX+X7C Embong Kaliasin, Surabaya, East Java",-7.262561,112.748145,"AC TYPE - 22KW, CCS 2 - 60KW DC, CHAdeMO - 60KW DC"
SPKLU PLN UID Jawa Timur,"PPMV+P77 Embong Kaliasin, Surabaya, East Java",-7.265702,112.743163,"AC TYPE - 7KW, CCS 2 - 100KW DC"
SPKLU Emergency Mobile,"PPMV+J63 Embong Kaliasin, Surabaya, East Java",-7.265988,112.743054,"AC TYPE - 22KW, CCS 2 - 30KW DC"
SPKLU SIOLA Tunjungan,"PPVQ+J6F Alun-alun Contong, Surabaya, East Java",-7.255949,112.738058,AC TYPE - 22KW
SPKLU Utomo Charge Plus Konsulat Kehormatan Republik Belarus Basuki Rahmat Surabaya,"PPGR+WWG Embong Kaliasin, Surabaya, East Java",-7.272695,112.742325,AC TYPE - 7.4KW
SPKLU PLN ULP Embong Wungu,"PP9Q+FXG DR. Soetomo, Surabaya, East Java",-7.28132,112.739942,"CHAdeMO - 25KW DC, CCS 2 - 35KW DC"
SPKLU PLN Surabaya Selatan,"PP6X+FWF Pucang Sewu, Surabaya, East Java",-7.288816,112.749806,"CCS 2 - 100KW DC, AC TYPE - 22KW"
SPKLU (Arista Power) BYD Kenjeran Surabaya,"PQXP+VRC Kalijudan, Surabaya, East Java",-7.250305,112.787012,CCS 2 - 60KW DC
